相談内容,回答内容,回答に使用したQA資料
英語教師について,英語教師についての詳細は、滋賀県国際協会の情報源に限定すると、技能実習機構などの窓口案内のみが挙げられています。英語教師としての就業条件・資格情報は本アーカイブには記載がなく、他機関の情報を参照することをおすすめします。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}]"
チケットの予約,滋賀県国際協会の公式情報に基づくと、チケット予約に関する具体的な案内は提供されていません。詳細は公式サイトまたは窓口へお問い合わせください。,[]
移住サポートについて,滋賀県内の移住サポートとして、滋賀県は県営住宅を含む居住支援情報を提供しています。空き家バンクやセーフティネット住宅の案内、在留手続き関連情報は滋賀県公式情報としてまとまっています。新型コロナ関連の生活支援として、住居確保給付金の案内と滋賀県の県営住宅受入れ情報が公表されています。詳細は各窓口（市町福祉課、県住宅課、滋賀県消費生活センター等）に問い合わせてください。,"[{""sid"": ""S3"", ""question"": ""住む家を探すには？"", ""answer"": ""住まい探しに役立つ情報です。住宅には、「公営住宅」、「賃貸住宅」、「持ち家」などがあります。\n公営住宅\n所得の低い人など一定の条件を満たす人を対象に、公的な住宅があります。定期的に募集をおこない、抽選によって入居が決定します。滋賀県には県営住宅と、市町によって市営や町営住宅があるところもあります。在留資格や所得の要件があるので、確認してください。\n県営住宅\n滋賀県には、県営住宅が県内各地域にあり、年4回（４月、７月、１０月、１月）募集があります。\n市営町営住宅\nお住まいの市町役場に問い合わせてください。\n賃貸住宅\n一般に、日本では不動産屋で物件を探し、書面で契約を結びます。契約時、物件により、礼金や敷金が必要になります。（礼金は家主へのお礼として支払うお金で戻ってきません。敷金とは退去時に原状回復のために使われ、一部戻ってくる場合もあります。）また、連帯保証人が必要な場合と、家賃保証会社を利用する場合があります。その他、不動産屋への仲介手数料の支払いがあります。契約に火災保険の加入が含まれる場合が一般的です。その他、管理費や２年ごとに更新料を支払う必要がある場合が多いです。\nお役立ちサイト\n- [ 不動産情報検索サイト ] （公社）滋賀県宅地建物取引業協会 (https://www.hatomarksite.com/search/shiga/)\n- [ 外国語が話せる不動産店一覧 ] （公財）日本賃貸住宅管理協会 (https://www.jpm.jp/multilingual/index.html)\n- [ 外国人の民間賃貸住宅への円滑な入居について ]　国土交通省 (https://www.mlit.go.jp/jutakukentiku/house/jutakukentiku_house_tk3_000017.html)\n滋賀県の居住支援・住宅セーフティネット制度\n滋賀県での高齢者世帯、障害者世帯、外国人世帯、子育て世帯の入居を受け入れる民間賃貸住宅等の情報です。\n- 滋賀県のセーフティネット住宅 (https://safetynet-jutaku.mlit.go.jp/guest/apart_list.php?pref=25)\n- 滋賀あんしん賃貸住宅 (https://www.pref.shiga.lg.jp/ippan/kendoseibi/zyuutaku/300196.html)\n火災保険\n住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。\n賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。\n持ち家\n日本では、不動産を購入する際に国籍や在留資格に基づく制限はありません。ただし住宅ローンの借り入れは、永住者や特別永住者の在留資格をお持ちの方に限られています。年齢や所得、勤続年数などの基準を満たし、審査に通ると住宅ローンを組むことができます。また、要件などを満たせば、確定申告で住宅ローン控除を受けることができます。住宅を購入した後、経済状況に変化があった場合は、住宅ローンの借り換えや返済について、銀行に条件変更の相談をしましょう。\nまた、１月１日に住宅を所有している人は、その資産をもとに算定した固定資産税をお住まいの市町役場に支払います。\n空き家バンク\n空き家の賃貸・売却を希望する人が登録した情報を、空き家の利活用を希望する人に紹介する制度です。希望する市町役場の住宅課に空き家バンクがあるかたずねてください。\n- 空き家バンク (https://www.akiya-athome.jp/buy/25/)\n困ったときの相談窓口　（相談無料）\n入居中・契約の解除・明渡し時のトラブルなどの相談窓口：・滋賀県消費生活センター（彦根）/ TEL 0749-23-0999\n住宅取得や不具合、事業者とのトラブルなど様々な住宅についての相談窓口：・住まいるダイヤル/ TEL 03-3556-5147\n引っ越し先が決まったら、何をしたらいいのでしょう？\n届け出\nお住まいの市町役場に転出届を出します。引っ越し後14日以内に、新住所の役場に転居、転入届を出し、在留カードとマイナンバーカードの住所変更も行います。また、子どもさんがおられる方は、新しい保育園、幼稚園、学校への転入手続きも行います。職場、銀行への連絡や、運転免許証の住所変更も必要です。郵便局へ郵便物の転送届を出しておくと、引っ越し前の住所地に届いた郵便物を新住所に転送してもらえます。\n近所との付き合い\n日本では、引っ越した人が近所の人に挨拶をする習慣があります。近所の人と知り合って、ゴミの収集日や収集場所、災害時の避難場所など地域のルールを教えてもらいましょう。\n自治会\n地域ごとに住民が運営する自治会があります。自治会では、住民同士が地域での暮らしを良くするため、防犯、防災、美化活動を行ったり、地域の子どもたちがスポーツや祭りなどを楽しむ「子ども会」があるなど様々な活動をしています。それらの事業の運営のため、会員は自治会費を支払い、役割分担(ぶんたん)もあります。また、細かな地域の情報が掲載された「回覧板」が回ってきます。自治会は任意加入ですが、ゴミ収集場所の管理を自治会がしている場合など、加入が必要になることもあります。災害時などには近所同士の助け合いが必要になるので、近所とのお付き合いは大切にしましょう。\n※地域によって自治会の有無や活動内容、自治会費は異なりますので、必ず確認してください。""}, {""sid"": ""S4"", ""question"": ""在留について"", ""answer"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}, {""sid"": ""S5"", ""question"": ""新型コロナウイルス感染症の影響を受けた方への生活支援について"", ""answer"": ""住居確保給付金（家主さんに直接支払われる家賃）\n対象\n離職・廃業から２年以内または休業等により収入が減少し、離職等と同程度の状況にある方\n支給期間\n原則３カ月（最長９カ月まで）\n支給額\n家賃相当額を自治体から家主さんに支給\n申請方法\n市にお住まいの方は各市。町にお住まいの方は各町の社会福祉協議会\nご案内\n住居確保給付金のご案内はこちらから (https://www.mhlw.go.jp/content/000626236.pdf)\n★滋賀県では県営住宅での一時的な受入れを行っています。\n対象\n新型コロナウイルスの感染症に起因する解雇等により住宅の退去を余儀なくされた方\n入居期間\n最長一年間\n申込方法\n県庁土木交通部住宅課へお電話　（℡　０７７－５２８－４２３４）\nその他、生活にお困りの方は、お住まいの市町の福祉課や社会福祉事務所で相談しましょう！""}]"
労災申請の記入,労災申請の記入については、まず事業主が加入義務のある労災保険の窓口である労働基準監督署に相談してください。申請には、怪我・病気の原因、発生日時、発生場所、治療内容、休業の有無・期間、賃金の支払い状況などの事実を明記します。詳しくは滋賀労働局の総合労働相談コーナーへご相談ください。,"[{""sid"": ""S1"", ""question"": ""労働災害"", ""answer"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}, {""sid"": ""S2"", ""question"": ""労働トラブルの相談"", ""answer"": ""労働関係のトラブルがあった場合は、下記の労働基準監督署に相談しましょう。（労働契約、就労規則、給料明細などがあれば持参してください）""}, {""sid"": ""S5"", ""question"": ""新型コロナウイルス感染症の影響を受けた方への生活支援について"", ""answer"": ""住居確保給付金（家主さんに直接支払われる家賃）\n対象\n離職・廃業から２年以内または休業等により収入が減少し、離職等と同程度の状況にある方\n支給期間\n原則３カ月（最長９カ月まで）\n支給額\n家賃相当額を自治体から家主さんに支給\n申請方法\n市にお住まいの方は各市。町にお住まいの方は各町の社会福祉協議会\nご案内\n住居確保給付金のご案内はこちらから (https://www.mhlw.go.jp/content/000626236.pdf)\n★滋賀県では県営住宅での一時的な受入れを行っています。\n対象\n新型コロナウイルスの感染症に起因する解雇等により住宅の退去を余儀なくされた方\n入居期間\n最長一年間\n申込方法\n県庁土木交通部住宅課へお電話　（℡　０７７－５２８－４２３４）\nその他、生活にお困りの方は、お住まいの市町の福祉課や社会福祉事務所で相談しましょう！""}]"
オムツの注文,滋賀県国際協会の公式情報には、オムツの注文に関する具体的な案内は掲載されていません。従って、オムツの注文方法については、公式ウェブサイトや窓口での最新案内を参照してください。テキストに明確な手続きや連絡先が見つかり次第、改めてご案内します。,[]
会社の面接,滋賀県国際協会の情報に基づく回答として、面接自体についての特別な要件はS1～S5には記載がありません。したがって、面接の際には通常の応募手続きとして、履歴書等を準備し、面接日を調整することが一般的です。雇用保険や社会保険の加入時期などの制度的事項は、採用後の話題になることが多く、面接時には職務内容や応募条件の確認を中心に進められます。もし面接前後で社会保険に関する具体的な手続きや扱いについて知りたい場合は、正式な雇用契約成立後に会社側へ確認することをおすすめします。,"[{""sid"": ""S1"", ""question"": ""入社後、試用期間中の社会保険加入について"", ""answer"": ""「試用期間中は社会保険に加入できない」と言われたことはありませんか。\n日本で就職したときは社会保険に加入して、会社から保険証をもらいます。\n試用期間中は社会保険に入れないと誤解されることがありますが、それは違います。\n社会保険の加入にならないのは、短期アルバイトなど契約期間が2カ月以内の労働者です。 試用期間中は、その後の正式採用を前提とした雇用とみなされますから、雇用主は社会保険に試用期間開始当初から加入させなければなりません。\n試用期間中は市役所の国民健康保険にも入れませんので、無保険にならないよう会社側に社会保険の加入手続きを依頼しましょう。\n年金事務所では社会保険の加入ルールの窓口相談も行っていますので、ご活用ください。""}, {""sid"": ""S3"", ""question"": ""社会保険の適用拡大について"", ""answer"": ""2024年10月から従業員51人以上の会社にお勤めのパート・アルバイトの方も社会保険（厚生年金保険・健康保険）に加入できることになりました。\n[ 加入条件 ]\n週の労働時間20時間以上/ 月額賃金8.8万円以上/ 2ヵ月を超える雇用の見込みがある/ 学生ではない""}, {""sid"": ""S4"", ""question"": ""【健康保険シリーズ１】  日本の公的保険制度について"", ""answer"": ""日本の会社に就職して仕事を始めると、お給料から社会保険料が引かれていることに気が付くと思います。この“社会保険”とは何を指すのでしょうか。日本では様々な社会保険制度があり、国籍に関わらず皆さんが加入し保障を受けることができます。\n今回はその中の健康保険について、会社にお勤めの方と、そうでない方の違いを見てみましょう。\n会社で働いてお給料をもらっている方：会社を通じて社会保険に加入します。保険料は給料から天引きになりますが、保険料の半分を会社が負担してくれています。また、扶養の家族も一緒に加入することができます。家族は保険料がかかりません。健康保険と年金はセットで加入します。\n自営業・無職など会社にお勤めではない方（上記以外の方）：個人で国民健康保険に加入します。保険料はご自身でお住いの市役所に納める必要があります。保険料は家族分を含め、全額自己負担となります。同様に年金も、個人で国民年金に加入します。\n●　病院での支払いが3割で済むのはどちらも同じです。また医療費が高額になった時の給付、出産や死亡の時の給付も同じです。会社の社会保険には病気や出産で仕事を休んだ時に、お給料を一部保障する給付がありますが、国民健康保険にはありません。\n健康保険の加入と脱退の手続きについて\n会社に就職したとき：社会保険に加入するときは会社が手続きをしてくれますが、それまで加入していた国民健康保険の脱退の手続きは自分でする必要があります。保険料が二重で請求されることのないよう、お住いの市役所で脱退の手続きをしてください。\n会社を退職したとき：退職し社会保険の資格が喪失したときは、保険証は使えなくなっていますので、すぐに会社に返却しましょう。そして自分で市役所に行って国民健康保険に加入し、保険証をもらう手続きをする必要があります。他にも社会保険を任意で継続加入する、ご家族の扶養に入るといった選択肢もありますので確認してみてください。""}]"
入管手続きのアルバイト,滋賀県国際協会の情報には、入管手続きに関する具体的なアルバイトの手続きや要件は記載されていません。高校生の就労に関する一般的なガイドと相談窓口の案内（滋賀労働局など）はありますが、在留資格の取得や更新などの入管手続きについては、入国管理局または法務省の公式情報を参照してください。入管手続きに関する具体的な相談先としては、お住まいの地域の入国管理局や在留資格に詳しい弁護士・司法書士、各自治体の国際協会窓口に問い合わせると良いでしょう。,"[{""sid"": ""S1"", ""question"": ""高校生はアルバイトできますか？"", ""answer"": ""15歳になって最初の3月31日が過ぎた人は就労が認められます。在籍する高校の校則でアルバイトが許可されていれば高校生も働くことができますが、18歳未満の未成年であり、社会での経験がまだ浅いため、以下のように法律で守られています。\n- 就職に当たって、保護者の同意書、年齢証明書、在留カードの提示が求められます。\n- 仕事の内容では、危険や有害な業務について就業の制限又は禁止されています。\n- 就労時間については、深夜業や時間外・休日労働の制限/変形労働時間制の勤務も禁止されています。\n※不当な労働契約や賃金の未払い、パワハラ、セクハラなど劣悪な環境で働かせるブラックバイトもあるので、雇用契約時には、雇用契約書を取り交わし、内容を確認するようにしてください。\n※犯罪行為によって報酬を受け取る\n闇バイト\nが、SNSなどを通して広まっています。決して「高収入」だから、と軽い気持ちで応募してはいけません。身分証や家族の情報などを提供してしまうことによって犯罪組織から抜け出せない手口になっています。自分の個人情報やプライバシーに関することはむやみに提供しないように気を付けましょう。\nいじめ、いやがらせ、セクハラ、解雇など仕事の相談\n- 滋賀労働局　雇用環境・均等室　Tel 077-523-1190\n- 労働条件相談ほっとライン（多言語相談）\n- 闇バイトの相談　警察相談ダイヤル#9110""}]"
労災について,労災保険は、外国人労働者を含む雇用者が1人でも雇えば事業主が加入義務を負い、医療費・休業補償・後遺障害補償・死亡補償などを給付します。詳しくは最寄りの労働基準監督署へ相談してください。,"[{""sid"": ""S1"", ""question"": ""労働災害"", ""answer"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
労基の連絡先,滋賀労働局総合労働相談コーナーの連絡先をご案内します。電話番号は077-522-6648（日本語）です。所在地は大津市打出浜14-15滋賀労働総合庁舎4Fです。外国人労働者向け相談ダイヤルは以下のとおりです。英語 0570-001701／中国語 0570-001702／ポルトガル語 0570-001703／スペイン語 0570-001704／タガログ語 0570-001705です。必要に応じてご利用ください。,"[{""sid"": ""S2"", ""question"": ""派遣労働についての新しいルール等を知って、就労に役立てましょう！"", ""answer"": ""■派遣受け入れ期間の制限と労働契約の申し込み義務について\n一部の業務を除き、派遣先で派遣労働者を受け入れることのできる期間には最長３年の制限があります。期間制限を超えてその業務について派遣労働者を仕事をさせる場合などは、派遣先は派遣労働者へ労働契約の申込みをしなければなりません。 2015年の労働者派遣法改正法で、派遣として、同じ事業所で同じ仕事を３年を超えて働くことは、基本的にできないことになりました。一定の手続きを経れば、３年を超えて働くことはできますが、異なる「課」などへ移動することが必要です。2018年９月より、同じ事業所の同じ「課」などに、継続して３年派遣される見込みとなった場合には、派遣元事業主（派遣会社）から下記の雇用安定措置（義務）を受け取ることが可能です。 （１年以上３年未満派遣見込みの方には、努力義務の対象。「派遣元で無期雇用されている派遣労働者」や「６０歳以上の派遣労働者」などは、雇用安定措置の対象外）\n対象：2015年９月３０日以降に労働者派遣契約を締結・更新した派遣労働者\n△　雇用安定措置の内容（義務）\n派遣元事業主は、以下の1.～4.のいずれかの措置を講じる必要があります。また、1.を講じて直接雇用に結び付かなかった場合には、別途2.～4.のいずれかの措置を講じる必要があります\n1. 派遣先への直接雇用の依頼（派遣先が同意すれば、派遣先の社員となります）\n2. 新たな派遣先の提供（その条件が派遣で働く方の能力、経験に照らして合理的なものに限る）\n3. 派遣元での派遣労働者以外としての無期雇用\n4. その他雇用の安定を図るための措置\n注意\n- 雇用安定措置の対象となるには、派遣元事業主に対し、派遣終了後も継続して就業することを希望することが必要です。雇用安定措置1.～4.のうち、派遣元事業主に講じてもらいたいものを希望することができます。\n- 派遣先が、派遣労働者を禁止業務（港湾運送業務、建設業務、警備業務、医療関連業務）に従事させたり、期間制限に違反して労働者派遣を受け入れたなどの場合には、その派遣労働者に対して労働契約の申し込みをしたとみなされます。\n■無期雇用への転換推進措置について\n2018年４月から無期雇用の申請受付も始まっています。有期労働契約が2013年４月以降、反復して更新されて通算５年を超えたときは、労働者の申し込みにより、次回の契約から期間の定めのない労働契約に転換できます。（詳しくはみみタロウ１２６号）\n労働についての相談窓口\n滋賀労働局総合労働相談コーナー　℡：077-522-6648　（日本語）\n大津市打出浜１４－１５滋賀労働総合庁舎４Ｆ\n「外国人労働者向け相談ダイヤル」10:00～15:00\n- 英語　　　　　月～金　　　℡ 0570-001701\n- 中国語　　　　月～金　　　℡ 0570-001702\n- ポルトガル語　月～金　　　℡ 0570-001703\n- スペイン語　　火、木、金　℡ 0570-001704\n- タガログ語　　火、水　　　℡ 0570-001705""}]"
脱退一時金について,日本国籍を有しない方が、国民年金又は厚生年金の被保険者資格を喪失し、日本を出国した場合、日本に住所がなくなった日から2年以内に脱退一時金を請求することができます。帰国する外国人が6ヶ月以上加入していれば、脱退一時金を受け取ることができます。,"[{""sid"": ""S1"", ""question"": ""脱退一時金 　＜公的年金の受給資格がないけれど、帰国する場合など＞"", ""answer"": ""日本国籍を有しない方が、国民年金又は厚生年金の被保険者資格を喪失し、日本を出国した場合、日本に住所がなくなった日から２年以内に脱退一時金を請求することができます。帰国する外国人が６ヶ月以上加入していれば、脱退一時金を受け取ることができます。""}]"
日本とベトナムでの結婚の手続きについて,滋賀県国際協会の情報に基づくと、日本とベトナムでの結婚手続きは以下の通りです。まず、日本国内で婚姻する場合は双方の本国法と日本法に従って手続きを行い、必要書類の日本語訳を揃えます。ベトナム側の婚姻手続きについてはベトナムの本国領事館または大使館へ問い合わせてください。本国で定める婚姻要件と必要書類を揃えて、日本の市区町村役場の戸籍係へ婚姻届を提出します。国際結婚に関する詳しい身分事項・書類の日本語訳の要件は在日公館へ確認してください（運用は国ごとに異なります）。なお、具体的な手続きの進め方・提出先はお住まいの市町村役場にもご相談ください。,"[{""sid"": ""S1"", ""question"": ""婚姻届"", ""answer"": ""- 外国人が日本国内で結婚する場合は両人の本国の法律と日本の法律にしたがって婚姻の手続きをしなければなりせん。\n- 本国の在日領事館または、大使館に婚姻の手続きについて問い合わせてください。\n- 婚姻に関しては、本国で定められている婚姻法に従って、必要書類をそろえ手続きをしてください。（書類の日本語訳文も必要です）\n- 婚姻届を届出人の所在地の市町村役場の戸籍係に提出してください。""}]"
貸付金の返済について,滋賀県社会福祉協議会などの教育貸付制度を含む公的ローンは、無利子または有利子のものがあり、返済計画を立てることが重要です。教育支援金（生活福祉資金教育貸付）は無利子、就学関連の貸付は無利子または有利子の区別があり、申込先は滋賀県の窓口（例：滋賀県社会福祉協議会、滋賀県健康医療福祉部子ども・青少年局、就学先の案内）へ連絡します。返済条件は制度ごとに異なるため、借りる前に金利・返済期間・返済方法を必ず確認してください。もし教育一般貸付（国の教育ローン）を利用する場合は日本政策金融公庫の情報を参照してください。,"[{""sid"": ""S2"", ""question"": ""教育資金貸付制度、教育ローン"", ""answer"": ""＊在留資格について、制約がある場合があります。\n金利、返済期間等について、確認してから借りましょう。\n生活福祉資金教育貸付 (教育支援金)\n[対象者] 低所得者世帯\n[連絡先・備考] 滋賀県社会福祉協議会 　 TEL：077-567-3903\n＊無利子\nひとり親家庭・寡婦福祉資金の修学資金、就学支度金の貸付\n[対象者] 母子父子家庭\n[連絡先・備考]\n滋賀県健康医療福祉部子ども・青少年局 TEL：077-528-3554\n大津市在住者は大津こども家庭課　 TEL：077-528-2686\n＊無利子\n教育一般貸付 国の教育ローン\n[連絡先・備考]\n日本政策金融公庫 (https://www.jfc.go.jp/n/finance/search/ippan.html)\n教育コールセンター TEL：0570-008656\n＊有利子\n銀行の教育ローン\n[連絡先・備考] 各銀行（銀行により金利が異なります）\n＊有利子""}, {""sid"": ""S3"", ""question"": ""教育資金"", ""answer"": ""子ども達の進学のため、教育資金の準備はできていますか？教育資金が不足する場合、銀行のローンの他、次のような制度を利用して、お金を借りることができます。\n（概ね、永住者、日本人の配偶者等、永住者の配偶者等、定住者対象）\n▲ローンや奨学金を利用する際は、返済に困らないような計画を立てましょう！""}]"
仕事探し,滋賀県国際協会の情報に基づくと、日本国内で就労できる外国人は公的機関で職業紹介を受けることができます。職業紹介や就労相談は公共職業安定所（ハローワーク）で対応しています。,"[{""sid"": ""S1"", ""question"": ""求職"", ""answer"": ""日本国内で就労できる外国人の方は日本人と同じように職業紹介を受ける事ができます。\n公共職業安定所　(ハローワーク)\n職業紹介、就労に関する相談などに応じる国の機関が公共職業安定所です。\n仕事が見つかり労働契約を結ぶ時の重要な決まりや雇用保険についてなど、いろいろな相談も合わせて行われています。""}]"
英語で受けれるカウンセリング,滋賀県国際協会の情報では、英語でのカウンセリングに関する具体的な情報は公開されていません。OTIT外国人技能実習機構の母国語相談が英語対応を含む旨の案内はS2にありますが、滋賀県内の英語カウンセリング窓口の詳細は提供されていません。必要に応じて、滋賀県健康医療福祉部薬務感染症対策課やしが外国人相談センター等への問い合わせを英語で対応可能か確認するとよいでしょう。,"[{""sid"": ""S1"", ""question"": ""エイズの無料相談・検査のお知らせ"", ""answer"": ""- 匿名で検査を受けられます。\n- 梅毒の検査も一緒にできます。\n- 曜日・時間：HPで確認してください\n- 場所：県内保健所（大津市・草津・甲賀・東近江・彦根・長浜・高島）\n- 検査は電話予約が必要です。\n- 当日に検査結果をお渡しできない場合があります。（２～３週間後）\n問合せ先\n県内保健所（日本語のみ対応可能）\nしが外国人相談センター（日本語以外）\nTel 077-523-5646""}, {""sid"": ""S2"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}, {""sid"": ""S3"", ""question"": ""エイズ検査と相談"", ""answer"": ""エイズやHIV感染について不安に思うとき、抗体検査を保健所で受けましょう。相談、検査とも匿名、無料（原則）で受けられます。\n\nまた、滋賀県健康医療福祉部薬務感染症対策課内には専用電話を設置し、カウンセラーによる電話相談と面接を受け付けています。\nエイズ専用電話\n- 077-524-0051\n- 受付時間: 毎週月、水曜日　午前9時～12時""}]"
末期患者に関する手続き,末期患者に関する手続きについて、滋賀県国際協会の公開情報には直接の手続き案内はありません。よって、死亡届や年金等の一般的要件の案内（例：死亡届は医師の死亡診断書添付の上、7日以内に届出、在留カードの扱い等）を参照してください。末期患者に関する具体的な手続きはお住まいの市町村役場・医療機関・介護支援窓口へご相談ください。,"[{""sid"": ""S1"", ""question"": ""死亡届"", ""answer"": ""- 死亡届は医師が発行する死亡診断書を添付の上、同居の親族、その他同居者等が死亡後7日以内に届出人の所在地の市町村役場に提出してください。\n- 在留カードを死亡14日以内に返してください。""}]"
税金申告について,税金申告については、住民税を含む確定申告が必要な場合があります。確定申告の期間は通常2月16日から3月15日で、医療費控除や住宅ローン控除の訂正、源泉徴収されていない収入がある場合などは提出します。給与所得者で給与所得が2000万円以下の場合、所得税は給与から差し引かれるため原則申告の必要はありません。外国語版の扶養控除等申告書などの申告書は国税庁サイトで公開されています。滋賀県居住者は住民税の申告・納付があり、確定申告等に基づいて市町村へ申告します。,"[{""sid"": ""S3"", ""question"": ""所得税"", ""answer"": ""所得のある人は所得税を納めなければなりません。所得は国籍に関わらず1月1日から1年間に得た個人所得のすべてに課税されます。しかし外国人の税金は滞在期間や職種などにより、次のとおりの方法で扱われます。\n- 日本に住所を持ち、または日本に引き続き1年以上居所を有する者や日本に永住しようとしている者で現在まで引き続き5年以上滞在しているものは、外国と日本の所得の両方に基づく税を支払います。\n- 日本に住所を有し、または現在まで引き続いて1年以上居所を有する個人で、日本に永住するつもりがなくかつ現在まで引き続いて5年以内滞在の一時的な居住者は、日本の所得と海外から送られてきたお金に基づく税を支払います。\n- 日本に1年以内の滞在期間で住所を持たないものは、日本の所得だけに基づく税を払います。\n納税者は管轄されている税務署で確定申告を提出します。申告の期間は2月16日から3月15日です。給与収入2000万円以下の給与所得の場合の所得税は、給与から直接差し引かれますので、通常給与所得者は所得税の申告書を提出する必要はありません。""}, {""sid"": ""S4"", ""question"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""answer"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}, {""sid"": ""S5"", ""question"": ""住民税"", ""answer"": ""滋賀県の居住者は、県民税と市町村民税を支払います。これらの税は住民税といわれ、住所地の市町村を管轄する税務署に提出されている確定申告などに基づいて計算されます。住民税は国籍に関わらず、1月1日から1年間に得た個人所得のすべてに課税されます。外国人の税金は、滞在期間や職種などにより別の方法で扱われます。\n\n住民税は次のように課税されます。\n- 国籍に関わらず、1月1日に日本に住所をもち、1年以上日本に滞在する場合。\n- 1月1日現在１年以内の居住期間でも、入国後継続して1年以上日本に居住することを通常必要とする職業を有する場合。\n住民税を支払うため、1月1日現在に住所地のある市町村へ申告しなければなりません。""}]"
