相談年月日,相談区分,対応言語名,相談概要,相談方法,元ファイル,元行番号
2025/7/14,医療,日本語（フィリピン）,入院患者への通訳について,電話,Question07.csv,71
2025/7/15,医療,日本語（フィリピン）,入院中の患者の通訳について,電話,Question07.csv,72
2025/7/28,医療,スペイン語,健康診断の予約,電話,Question07.csv,115
2025/7/28,医療,タガログ語,タガログ語通訳の依頼。,電話,Question07.csv,117
2025/7/28,医療,英語,歯科治療についての法的アドバイス,E-Mail,Question07.csv,118
2025/7/29,医療,スペイン語,健康診断の問診表,電話,Question07.csv,119
2025/7/31,医療,英語,医療問題についての弁護士相談,E-Mail,Question07.csv,132
2025/8/4,医療,英語,英語で受けれるウンセリングについて,E-Mail,Question08.csv,6
2025/8/8,医療,スペイン語,緊急搬送,電話,Question08.csv,23
2025/8/12,医療,ポルトガル語,発熱外来について,電話,Question08.csv,26
2025/8/14,医療,スペイン語,健康診断について,来所,Question08.csv,33
2025/8/19,医療,ポルトガル語,異常が見つかった,電話,Question08.csv,49
2025/8/21,医療,ポルトガル語,病院へ行く際について,電話,Question08.csv,60
2025/8/22,医療,ポルトガル語,入院費用の支払いについて,電話,Question08.csv,61
2025/8/26,医療,日本語（ブラジル）,検査の医療通訳,電話,Question08.csv,74
2025/9/1,医療,ポルトガル語,治療について,電話,Question09.csv,6
2025/9/2,医療,スペイン語,紹介状について,電話,Question09.csv,9
2025/9/2,医療,ポルトガル語,友人について,電話,Question09.csv,19
2025/9/4,医療,日本語（ベトナム）,ベトナム語通訳について,電話,Question09.csv,28
2025/9/4,医療,日本語（その他）,生活面についての通訳,電話,Question09.csv,29
2025/9/4,医療,日本語（フィリピン）,フィリピンの方の聞き取りをお願いしたい,電話,Question09.csv,33
2025/9/8,医療,スペイン語,紹介状,電話,Question09.csv,42
2025/9/8,医療,日本語（その他）,患者の生活支援,電話,Question09.csv,43
2025/9/8,医療,ポルトガル語,薬について,電話,Question09.csv,53
2025/9/12,医療,ポルトガル語,娘の薬について,電話,Question09.csv,72
2025/9/12,医療,スペイン語,心理士について,電話,Question09.csv,73
2025/9/24,医療,ポルトガル語,心療内科について,電話,Question09.csv,97
2025/9/26,医療,ポルトガル語,医療通訳依頼,電話,Question09.csv,107
2025/9/29,医療,ポルトガル語,心療内科を探している,電話,Question09.csv,117
2025/10/1,医療,ポルトガル語,診療内科について,E-Mail,Question10.csv,3
2025/10/2,医療,ポルトガル語,治療等について,電話,Question10.csv,15
2025/10/7,医療,ポルトガル語,痛み止めが効かない,電話,Question10.csv,39
2025/10/7,医療,ポルトガル語,転院の希望,電話,Question10.csv,40
2025/10/8,医療,ポルトガル語,病院で通訳依頼,電話,Question10.csv,45
2025/10/14,医療,ポルトガル語,動物病院での通訳依頼,電話,Question10.csv,70
2025/10/27,医療,ポルトガル語,入院費用について,電話,Question10.csv,116
2025/10/27,医療,ポルトガル語,検診の案内について,来所,Question10.csv,120
2025/10/27,医療,ポルトガル語,循環器内科の予約について,電話,Question10.csv,121
2025/10/28,医療,ポルトガル語,医療費について,電話,Question10.csv,134
2025/10/28,医療,日本語（ブラジル）,通訳依頼,電話,Question10.csv,135
2025/10/29,医療,ポルトガル語,医療通訳について,電話,Question10.csv,142
2025/11/4,医療,ポルトガル語,初診の予約等について,電話,Question11.csv,10
2025/11/5,医療,ポルトガル語,血圧について,電話,Question11.csv,15
2025/11/6,医療,ポルトガル語,紹介状作成について,電話,Question11.csv,20
2025/11/6,医療,ポルトガル語,高血圧について,電話,Question11.csv,24
2025/11/10,医療,タガログ語,精神的ストレスについて,電話,Question11.csv,40
2025/11/11,医療,日本語（ブラジル）,連絡通訳依頼,電話,Question11.csv,43
2025/11/12,医療,日本語（ブラジル）,聞き取りについて,電話,Question11.csv,54
2025/11/14,医療,ポルトガル語,転院について,電話,Question11.csv,61
2025/11/17,医療,スペイン語,インフルエンザについて,電話,Question11.csv,71
2025/11/18,医療,ポルトガル語,医療通訳について,電話,Question11.csv,80
2025/11/19,医療,ポルトガル語,再診の予約,電話,Question11.csv,82
2025/11/21,医療,ポルトガル語,転院について,電話,Question11.csv,94
2025/11/21,医療,英語,病院の予約がとりたい,電話,Question11.csv,102
2025/11/25,医療,スペイン語,病状がひどい,電話,Question11.csv,114
2025/11/26,医療,日本語（その他）,ヒンディー語について,電話,Question11.csv,120
2025/11/26,医療,スペイン語,障害者手帳について,電話,Question11.csv,122
2025/11/26,医療,日本語（ベトナム）,検診の結果についてベトナム語通訳依頼,電話,Question11.csv,123
2025/11/27,医療,ポルトガル語,病院の予約について,電話,Question11.csv,125
2025/11/27,医療,スペイン語,父の医療費について,来所,Question11.csv,132
2025/12/1,医療,日本語（ブラジル）,連絡通訳依頼,電話,Question12.csv,6
2025/12/4,医療,日本語（その他）,英語対応可の精神科,電話,Question12.csv,21
2025/12/5,医療,日本語（その他）,初診時の同行通訳について,電話,Question12.csv,27
2025/12/8,医療,日本語（ペルー）,入院している父の今後について,来所,Question12.csv,32
2025/12/11,医療,ポルトガル語,心臓の疾患について,電話,Question12.csv,46
2025/12/11,医療,日本語（ベトナム）,受診中のベトナム語通訳について,電話,Question12.csv,48
2025/12/15,医療,日本語（フィリピン）,医療通訳について,電話,Question12.csv,61
2025/12/22,医療,スペイン語,娘の病状,電話,Question12.csv,96
