相談年月日,相談区分,対応言語名,相談概要,相談方法,回答,参照QA（カテゴリ名つき）リスト

2025/4/2,入管手続,スペイン語,ビザの更新について,来所,滋賀県国際協会の情報に基づくと、ビザの更新に関する具体的な新情報は提供されていません。出典S1～S5には健康保険や成年年齢、雇用契約等の話題が含まれますが、ビザ更新手続き自体の要件や手順の記載はありません。必要であれば、現地の入国管理局や公式ガイドをご確認ください。,"[{""qa_id"": 249, ""カテゴリ名"": ""年金・保険"", ""質問"": ""健康保険の被扶養者は「国内居住者」に限定されます"", ""回答"": ""2020年４月より、企業の従業員が入る公的医療保険「健康保険」の被扶養者の認定要件に、「原則として国内に居住していること」が追加され、海外在住の被扶養者は外れることになりました。ただし、日本に居住していない被扶養者のうち、日本に生活の基礎があると認められるもの（海外留学、海外赴任の同行家族、観光ボランティア等のための一時的渡航者など）については、 例外的に要件を満たすこととされています。一方、国内に住所があっても、医療滞在ビザで来日した者や観光・保養を目的とするロングステイビザで来日した者は被扶養者認定されません。""}]"
2025/4/7,入管手続,"日本語
（フィリピン）",在留資格更新について,電話,滋賀県在住の方の在留資格更新に関する一般的な手続きは、在留資格の変更・更新は在留関係手続きページ（MOJ）にて案内されています。在留期間の満了日が近づく場合は、更新申請を行い、無事に更新が認められれば在留期間が延長されます。新しい在留資格への移行時には、居住地の市区町村窓口や大阪入国管理局大津出張所等で手続きします。なお、具体的な時期・書類・期限などの詳細は滋賀県在住者向け案内および MOJ の在留関係手続きページを確認してください。,"[{""qa_id"": 185, ""カテゴリ名"": ""在留・住民手続"", ""質問"": ""在留について"", ""回答"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
2025/4/14,入管手続,タガログ語,在留資格について,電話,滋賀県在住の外国人には、それぞれの滞在目的に応じた在留資格と在留期間が与えられ、在留資格には活動できる内容が厳格に規定されています。滋賀県内の関連手続きは、在留関係の手続き・相談窓口情報を参考にしてください。,"[{""qa_id"": 185, ""カテゴリ名"": ""在留・住民手続"", ""質問"": ""在留について"", ""回答"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
2025/6/13,入管手続,日本語（日本）,永住申請について,電話,滋賀県在住の方の永住申請に関する具体的な手続き情報は、提供された出典には記載がありません。永住権の取得手続きや要件については、出入国在留管理庁の公式情報をご確認ください。滋賀県としての窓口案内は、大津出張所での在留関係手続き案内が挙げられています。,"[{""qa_id"": 185, ""カテゴリ名"": ""在留・住民手続"", ""質問"": ""在留について"", ""回答"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"
2025/5/22,入管手続,スペイン語,在留資格の更新について,電話,滋賀県在住の方の在留資格更新に関する具体的な手続きは、在留関係手続きページおよび大阪入国管理局大津出張所で案内があります。手続きの詳細は滋賀県在住の方は大阪入国管理局大津出張所の窓口または外国人在留インフォメーションセンターに問い合わせてください。,"[{""qa_id"": 185, ""カテゴリ名"": ""在留・住民手続"", ""質問"": ""在留について"", ""回答"": ""日本に住む外国人には、それぞれの滞在目的に従って在留資格と在留期間が与えられます。おのおのの「在留資格」には活動できる内容が厳格に規定されています。\n関連ページ\n出入国在留管理庁 (http://www.moj.go.jp/isa/index.html)\n在留関係の手続きについては\n在留関係手続き (https://www.moj.go.jp/isa/applications/index.html)\n入国後の在留関係の手続き\n滋賀県在住の方は、\n大阪入国管理局大津出張所\nで行います。\n大阪入国管理局大津出張所 (http://www.moj.go.jp/isa/about/region/osaka/index.html)\n大津市京町3-1-1 大津びわ湖合同庁舎6階　　℡：077-511-4231\n一般的な内容についての相談\n外国人在留インフォメーションセンター・ワンストップ型相談センター（入国管理局）に外国語で問い合わせることもできます。\n外国人在留インフォメーションセンター (http://www.moj.go.jp/isa/consultation/center/japanese.html)\n℡ 0570-013904（ＩＰ, ＰＨＳ, 海外: 03-5796-7112）\n新しい在留資格への移行により、平成24年7月9日より前の住所は住民票には記載されません。 ※これまで市区町村で保管されていた「外国人登録原票」は、平成24年7月9日から法務省で保管されています。\n外国人登録原票に係る開示請求について（法務省HPへリンク） (http://www.moj.go.jp/isa/applications/disclosure/foreigner.html)""}]"

2025/7/14,出産・子育て全般,タガログ語,出産一時金について,E-Mail,出産育児一時金は、正常な妊娠・出産は病気ではないため健康保険の対象外となるが、直接払いの手続きを行えば出産費用を補助します。補助額は一児につき50万円（重度の脳性麻痺を保障する制度に加入していない病院では48.8万円）。対象者は妊娠4ヵ月（85日）以降の出産で、死産を含みます。手続きは病院で行い、利用申込書類に署名します。出産育児一時金の詳細は、出産育児一時金の公式ページをご参照ください。,"[{""qa_id"": 320, ""カテゴリ名"": ""出産・育児"", ""質問"": ""【健康保険シリーズ5】子どもが生まれたら"", ""回答"": ""健康保険は病気になったときの給付だけではありません。他にもさまざまな給付があります。今日はその中でも、出産にかかわる健康保険からの給付をご紹介します。出産を控えている方にはぜひ知っておいて欲しい制度です。\n出産は保険が使えるの？「出産育児一時金」\n正常な妊娠・出産は病気ではありませんので、健康保険の対象外となります。3割負担での受診はできません。\nしかし「出産育児一時金」の直接払いの手続きをすれば、出産費用が補助されます。\n病院では補助される額を超えた分のみの費用負担で済みます。\n補助額\n一児につき50万円\n（重度の脳性麻痺を保障する制度に加入していない病院では４8.８万円）\n対象者\n妊娠４ヵ月（８５日）以降の出産で、死産を含みます。\n手続き方法\n病院で手続きができます。利用申込の書類に署名してください。\n出産育児一時金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r310/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r310/)\n*頁右上の Select language で言語を選択（英語、中国語（簡体字、繁体字）、韓国語、スペイン語、ポルトガル語）\n出産で会社を休んだら？　「出産手当金」\n妊娠や出産で長期間仕事を休むと、お給料が支払われなくなり生活に困ることもあります。しかし会社で健康保険に加入して働いている方は、「出産手当金」を請求すれば生活保障として手当金が支給されます。（扶養家族の出産は対象外です。また市町村の国民健康保険には、この制度はありません）\n給付額\n直近一年間のお給料を平均した額のおおよそ2/3\n対象期間\n出産日以前42日間（多胎妊娠は98日間）＋出産日後56日間\n手続き方法\n会社を通して健康保険に申請してください。\n出産手当金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r311/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r311/)\n*頁右上の Select language で言語を選択\nまた毎月のお給料から引かれている社会保険料も、産休中は支払いが免除されます。\n会社の総務の方に相談してみてください。""}]"
2025/4/17,出産・子育て全般,ポルトガル語,児童扶養手当について,電話,児童扶養手当については、提供されている情報には具体的な説明が含まれていません。滋賀県国際協会の情報源には児童扶養手当の直接的な記載はなく、公的制度としての児童手当の概要や他の教育・保育支援制度が記載されています。児童扶養手当の詳しい要件・支給額・申請先は市町の窓口や内閣府・日本の関連機関の案内をご確認ください。,"[{""qa_id"": 319, ""カテゴリ名"": ""出産・育児"", ""質問"": ""子どもたちが安心して育つために　～公的援助制度について～"", ""回答"": ""子育てには養育費・教育費などたくさんのお金がかかります。日本には、子育てを経済的に援助する様々な公的制度があります。申請の必要なものもありますので、それぞれの申請時期を確認してうまく利用しましょう。\n児童手当制度\n生後から高校修了年代までの児童を養育している方へ児童手当が支給されます。０歳～２歳に月１万５千円、３歳～18歳の最初の３月末までに月１万円、第３子以降は月３万円が支給されます。父母が別居している場合は、児童と同居している方に優先的に支給され、また、父母が海外に住んでいる場合、日本国内で児童を養育している方を指定すれば、その方に支給されます。\n[ 問合せ ]\n各市町\n幼児教育、保育、小中学校の授業料の無償化\n幼稚園、保育園、認定こども園の３～５歳児クラスの利用料は無料です。住民税非課税世帯は　０～２歳児クラスでも無料になります。また就労等の保育の必要性の認定を受ければ、預かり保育の利用にも補助が出ます。公立小中学校の授業料も無償化の対象です。\n[ 問合せ ]\n各市町　内閣府HP\n内閣府HP (https://www8.cao.go.jp/shoushi/shinseido/musyouka/about/index.html)\n就学援助制度\n公立の小中学校に就学している児童生徒の保護者に、学用品、通学用品、PTA会費等就学に必要な費用の一部を援助する制度です。生活保護対象の保護者、およびそれに準ずる保護者が対象です。\n[ 問合せ ]\n在籍している小中学校や市町教育委員会\n高等学校等就学支援制度\n年収９１０万円未満の世帯に対して、高校等（高専、高等専修学校等を含む）に在学する生徒の授業料について支援されます。保護者の方に直接支給されるのではなく、学校が受け取り、授業料に充当されます。\n[ 問合せ ]\n在籍している学校を通じて申請\n高校生等奨学給付金\n授業料以外の教育費負担を軽減するため、高校生等がいる低所得者世帯を対象に支援があります。\n[ 問合せ ]\n在学している学校を通じて、私立の場合は滋賀県総務部私学・県立大学振興課、国公立の場合は、滋賀県教育委員会教育総務課\n高等教育の修学支援新制度（授業料等減免と給付型奨学金）\n世帯収入等により、大学や専門学校などの授業料・入学金の免除または減額や給付型の奨学金の支給支援があります。高等学校在学中にも申請できます。\n[ 問合せ ]\n在籍、入学予定の学校・日本学生支援機構""}]"
2025/4/9,出産・子育て全般,英語,予約時間の変更依頼,電話,予約時間の変更に関する具体的な手順は、挙げられているS1〜S5の資料には直接言及されていません。労働条件の改正や有給休暇などの一般的な労働法改正が示されていますが、予約時間の変更依頼についての記述はありません。よろしければ、予約時間の変更に関する情報を滋賀県国際協会の公式案内の範囲で再度ご提示ください。,"[{""qa_id"": 264, ""カテゴリ名"": ""労働"", ""質問"": ""働き方が変わります（2019年４月から）"", ""回答"": ""時間外労働の上限規制が導入されます！（中小企業は２０２０年４月１日から）\n時間外労働の上限が、原則月４５時間、年３６０時間となります。臨時的な特別な事情がある場合でも年７２０時間、月１００時間未満（休日労働を含む）、複数月平均８０時間（休日労働含む）を限度に設定する必要があります。\n年次有給休暇の確実な取得が必要です！\n年次有給休暇は、原則として、労働者が請求する時季に与えることとされていますが、職場への配慮等の理由から取得率が低調な現状があります。\nこのため、全ての企業において、年１０日以上の年次有給休暇が付与される労働者に対して、年次有給休暇の日数のうち年５日については、使用者が時季を指定して取得させることが必要となりました。\n年次有給休暇を５日以上取得済みの労働者に対しては、使用者による時季指定は不要です。\n☛有給休暇は勤務年数等によって異なります。労働者側から希望する日を雇用者に申し出ます。""}]"
2025/4/14,出産・子育て全般,日本語（その他）,保護者への文書翻訳,電話,滋賀県国際協会の情報に基づくと、保護者への文書翻訳に関しては、特定の翻訳サービスの公的案内は明記されていません。ただし、外国語版申告書など公的情報の多言語対応があることから、必要に応じて公的情報の多言語資料を活用し、役所や関係機関へ相談することが推奨されます。翻訳が必要な場合は、自治体の窓口や多言語ダイヤルを活用して支援を受けることを検討してください。,"[{""qa_id"": 333, ""カテゴリ名"": ""税金"", ""質問"": ""年末調整の各種申告書（扶養控除等申告書など）について"", ""回答"": ""国税庁のウェブサイト内で、《外国語版》各種申告書（扶養控除等申告書など）が公開されています。\n【６言語版】\n英語、中国語、ポルトガル語、スペイン語、ベトナム語、フィリピノ語\nご活用ください。""}]"
2025/4/14,出産・子育て全般,ベトナム語,検診の担当者の変更について,電話,質問では“検診の担当者の変更”についての具体的な手続きや窓口の案内は、提供された情報（S1〜S5）には記載がありません。滋賀県国際協会の情報だけを根拠とする場合、現時点で達成できる回答は、健診の一般的な受診のすすめと特定健診の案内に関連する情報のみです。担当者変更については、所属している健保（協会けんぽ）や市町村の窓口、勤務先の人事部門など、公式な窓口へ直接お問い合わせください。,"[{""qa_id"": 238, ""カテゴリ名"": ""年金・保険"", ""質問"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""回答"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★★\t協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n从2２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}]"

2025/7/9,労災,スペイン語,労災申請について,来所,滋賀県国際協会の情報に基づくと、労災保険は外国人労働者を含む全ての労働者が対象で、雇用主が保険料を全額負担します。労災の申請・相談は、就労先の責任で行われ、加入状況や手続きについては最寄りの労働基準監督署に相談してください。具体的な申請手続きの詳細は本文中のS1の説明をご参照ください。,"[{""qa_id"": 275, ""カテゴリ名"": ""労働"", ""質問"": ""労働災害"", ""回答"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
2025/6/13,労災,ポルトガル語,労災について,電話,滋賀県国際協会の情報によれば、外国人労働者を含むすべての労働者は労災保険に加入し、業務中の負傷・疾病・死亡および通勤災害に対して医療費や休業補償、傷害補償を受けられます。保険料は事業主が全額負担します。詳しくは最寄りの労働基準監督署へ相談してください。,"[{""qa_id"": 275, ""カテゴリ名"": ""労働"", ""質問"": ""労働災害"", ""回答"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
2025/5/12,労災,スペイン語,労災給付の受給資格を喪失した件について,来所,労災給付の受給資格を喪失した件についての具体的な個別状況は提供された情報だけでは判断できません。一般的には、労災保険の給付を受けるには事業主が労災保険に加入していること、被保険者であること、業務上の事由に起因する傷病・疾病・死亡・休業などが対象であること、等の要件を満たす必要があります。資格喪失の理由としては、被保険者資格の喪失、休業期間の要件不充足、給与支払いの有無の証明等が考えられます。詳しくは最寄りの労働基準監督署に相談してください。,"[{""qa_id"": 275, ""カテゴリ名"": ""労働"", ""質問"": ""労働災害"", ""回答"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
2025/5/29,労災,スペイン語,労災の可能性について,電話,滋賀県国際協会の情報に基づくと、外国人労働者を含む全ての労働者は労災保険の対象となり、仕事中のケガ・病気・死亡、または通勤途中の事故があれば労災保険で給付を受けられます。事業主は加入義務があり、保険料は事業主が全額負担します。状況を確認するには労働基準監督署へ相談してください。,"[{""qa_id"": 275, ""カテゴリ名"": ""労働"", ""質問"": ""労働災害"", ""回答"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
2025/6/30,労災,ポルトガル語,労災の判断について,電話,労災の判断は、労働者が業務に従事している際に発生したケガ・病気・死亡などが対象かを、労災保険の適用要件に照らして判断します。外国人労働者を含む全ての労働者が対象で、業務遂行中の事故や通勤災害も含まれうるとされています。具体的な判断や認定は最寄りの労働基準監督署に相談してください。,"[{""qa_id"": 275, ""カテゴリ名"": ""労働"", ""質問"": ""労働災害"", ""回答"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"

2025/10/29,医療,ポルトガル語,医療通訳について,電話,滋賀県国際協会の情報では、医療通訳についての直接の案内は見つかりません。外国語対応の医療機関リストや英語・ハングル・中文対応の案内は、関連サイトをご確認ください（医療ネットしが、外国語対応医療機関情報を案内）。ヘルプとして、緊急時は多言語対応の窓口や地域の病院へ事前に問い合わせることを推奨します。,"[{""qa_id"": 229, ""カテゴリ名"": ""医療"", ""質問"": ""滋賀県の病院、医院の情報は"", ""回答"": ""医療ネットしがWebサイトをご覧ください。\n対応言語：英語、ハングル、中文""}, {""qa_id"": 228, ""カテゴリ名"": ""医療"", ""質問"": ""滋賀県内の外国語で対応可能な医療機関について"", ""回答"": ""滋賀県内の外国語で対応可能な医療機関リストは、以下のサイトをご覧ください。""}]"
2025/4/22,医療,タガログ語,医療通訳の依頼,電話,滋賀県国際協会の情報に基づくと、医療通訳の依頼についての具体的な窓口は示されていません。英語・韓国語・中国語対応の実績や医療機関情報の案内などは記載されていますが、医療通訳の専用手配先は示されていません。必要な場合は、医療機関の外国語対応窓口やしが外国人相談センターなどを通じて相談することをおすすめします。,"[{""qa_id"": 229, ""カテゴリ名"": ""医療"", ""質問"": ""滋賀県の病院、医院の情報は"", ""回答"": ""医療ネットしがWebサイトをご覧ください。\n対応言語：英語、ハングル、中文""}, {""qa_id"": 228, ""カテゴリ名"": ""医療"", ""質問"": ""滋賀県内の外国語で対応可能な医療機関について"", ""回答"": ""滋賀県内の外国語で対応可能な医療機関リストは、以下のサイトをご覧ください。""}, {""qa_id"": 231, ""カテゴリ名"": ""医療"", ""質問"": ""エイズ検査と相談"", ""回答"": ""エイズやHIV感染について不安に思うとき、抗体検査を保健所で受けましょう。相談、検査とも匿名、無料（原則）で受けられます。\n\nまた、滋賀県健康医療福祉部薬務感染症対策課内には専用電話を設置し、カウンセラーによる電話相談と面接を受け付けています。\nエイズ専用電話\n- 077-524-0051\n- 受付時間: 毎週月、水曜日　午前9時～12時""}]"
2025/6/24,医療,タガログ語,紹介状について,電話,紹介状についての言及は、提供された文面には含まれていません。よって、滋賀県国際協会の情報として、紹介状に関する事実ベースの説明は回答できません。,"[{""qa_id"": 216, ""カテゴリ名"": ""生活"", ""質問"": ""郵便局について"", ""回答"": ""以下の関連ページに各言語で案内があります。""}]"
2025/11/11,医療,日本語（ブラジル）,連絡通訳依頼,電話,連絡・通訳の依頼に関する具体的な窓口は、出典S1の「郵便局について」ページには言語案内がある旨のみ記載されています。滋賀県国際協会の情報として、通訳依頼の公式窓口名・電話番号はS1には提示されていません。別途滋賀県内の関連窓口や公式サイトをご確認ください。,"[{""qa_id"": 216, ""カテゴリ名"": ""生活"", ""質問"": ""郵便局について"", ""回答"": ""以下の関連ページに各言語で案内があります。""}]"
2025/11/14,医療,ポルトガル語,転院について,電話,"転院をする場合は、初診料や紹介状の有無など費用に影響する要素を確認してください。大病院を希望する際は紹介状があるとスムーズですが、紹介状なしで大病院を受診すると追加料金が発生する場合があります（初診5,000円→7,000円、再診2,500円→3,000円など、選定療養費の改正により変動）。まずはかかりつけ医に相談し、必要に応じ紹介状を発行してもらいましょう。また、転院先の診療時間や初診料の有無、保険適用の扱いを事前に確認するとよいでしょう。","[{""qa_id"": 240, ""カテゴリ名"": ""年金・保険"", ""質問"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です～"", ""回答"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}, {""qa_id"": 222, ""カテゴリ名"": ""医療"", ""質問"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です"", ""回答"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}]"

2025/4/16,子育・児童虐待,タガログ語,孫達は児童虐待の被害者でしょうか？,電話,孫達が児童虐待の被害者かどうかを判断するには、現時点の情報だけでは不明です。児童虐待が疑われる場合は、直ちに児童相談機関へ連絡してください。最寄りの相談先として、草津市・彦根市・大津市の各センターや全国共通ダイヤル189などが利用可能です。具体的な対応は専門機関の判断になりますので、早急な連絡を推奨します。,"[{""qa_id"": 326, ""カテゴリ名"": ""出産・育児"", ""質問"": ""児童虐待の疑いがある場合はすぐに連絡しましょう"", ""回答"": ""虐待ホットライン（24時間対応）\n電話 : 077-562-8996　（日本語）\n中央子ども家庭相談センター\n草津市笠山七丁目4番45号　　電話: 077-562-1121\n彦根子ども家庭相談センター\n彦根市小泉町932-1　　電話: 0749-24-3741\n大津・高島子ども家庭相談センター\n大津市におの浜4-4-5　　電話: 077-548-7768\n児童相談所全国共通ダイヤル（24時間対応）\n電話：189""}]"

